pid,author,label,experience,_date,artifact_type,wall_characterstics,wall_creator,archive_source,location,url,purpose,repurpose,order,layout,collection,thumbnail,full,manifest
obj0001,Andy Rutkowski,A fence around an empty lot.,"This is a fence which surrounds a vacant lot that I have walked around for years. I first encountered it back in 2013 when I moved to Los Angeles. It is a beautiful field with full grown trees. In the morning if you walk by it you can hear birds singing, almost inviting you in. I have never seen anyone inside the fence although every once in a while someone must go in to clean up and maintain the grass. The longer I have lived in LA and learned more about this site the more it saddens me that it has remained empty for nearly 10 years. A public library was once on this site and it moved ",2024,wall,chainlink fence,private,Andrzej Rutkowski,"3663 S. Vermont Avenue Los Angeles, CA","https://www.google.com/maps/@34.0212739,-118.2915953,394m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI0MTIwMS4xIKXMDSoASAFQAw%3D%3D",To keep individuals away from space.,none,00,walls_item,walls,"/img/derivatives/iiif/images/obj0001/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0001/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0001/manifest.json
obj0002,Andy Rutkowski,Angelus Rosedale Cemetery wall,"This cemetry I first encountered when running in Los Angeles. More recenlty I have driven by it on a weekly basis and have noticed the tents and how they have become part of the infrastructure. As homelessness becomes more and more criminalized it is remarkable to see these ""safe"" spaces crop up. What is it about this particular strip by the cemetry that draws people to create more permanent looking housing?",2024,wall,brick and wrought iron,Church.,Google Maps,1818 W. Washington Blvd.,https://maps.app.goo.gl/V1gpPa8CfjF4emDeA,To keep individuals away from cemetery.,Wall helps to provide shelter for housing.,01,walls_item,walls,"/img/derivatives/iiif/images/obj0002_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0002_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0002/manifest.json
obj0003,Andy Rutkowski,"Walls and Bridges: USC Has Worked Hard to RepairRelations With Its Neighbors, but Area Residents Have NotForgotten the Bitter Battles of the Past",This article from the Los Angeles Times talks about the tension between the University and community residents. An ongoing narrative.,1993,article,n/a,n/a,Los Angeles Times,"University Park, Los Angeles CA",https://maps.app.goo.gl/tACxrcZ6sqPXcLCAA,Historical information about history of USC walls and community relations,n/a,02,walls_item,walls,"/img/derivatives/iiif/images/obj0003_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0003_00/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0003/manifest.json
obj0004,Andy Rutkowski,Clark Memorial Library wall,This is another wall that encountered running when I first moved to Los Angeles. I had no idea about the Clark Library but I knew something substantial was housed behind the beautiful ivy and brick wall. Though only a few minutes from the Angelus Rosedale Cemetry no unhoused individuals have tried to setup tents here.,2024,wall,brick and ivy,Clark Memorial Library,Google Maps,"2520 Cimarron St, Los Angeles, CA 90018",https://maps.app.goo.gl/wafDTx5XufngbJbz7,To keep individuals away from space.,n/a,03,walls_item,walls,"/img/derivatives/iiif/images/obj0004_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0004_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0004/manifest.json
obj0005,Andy Rutkowski,Vacant lot,TBD,2018 - 2024,wall,chainlink fence,Los Angeles City or some other other government agency.,Google Maps,"5237-5271 S Figueroa St, Los Angeles, CA 90037",https://maps.app.goo.gl/wafDTx5XufngbJbz8,To keep individuals away from space.,Fence helps to provide shelter for housing.,04,walls_item,walls,"/img/derivatives/iiif/images/obj0005_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0005_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0005/manifest.json
obj0006,Andy Rutkowski,Bovard lawn,TBD,2024,wall,temporary iron fence,University of Southern California,Andrzej Rutkowski,"University Park, Los Angeles, CA 90089",https://maps.app.goo.gl/HXLCDfW617fQF4hm8,To keep individuals away from space.,n/a,05,walls_item,walls,"/img/derivatives/iiif/images/obj0006/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0006/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0006/manifest.json
obj0007,Andy Rutkowski,Alumini Park,TBD,2024,wall,temporary iron fence,University of Southern California,Andrzej Rutkowski,"3570 Trousdale Pkwy, Los Angeles, CA 90089",https://maps.app.goo.gl/UDxMmvhKTUyVghF9A,Mediate access to space. Can be easily closed in order to fully prevent access.,n/a,06,walls_item,walls,"/img/derivatives/iiif/images/obj0007/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0007/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0007/manifest.json
obj0008,Andy Rutkowski,Tommy Trojan,TBD,2024,wall,temporary metal fence,University of Southern California,Andrzej Rutkowski,"801-899 Childs Way, Los Angeles, CA 90089",https://maps.app.goo.gl/KjScDCrGQS7eVRyZ9,Mediate access to space.,n/a,07,walls_item,walls,"/img/derivatives/iiif/images/obj0008/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0008/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0008/manifest.json
obj0009,Andy Rutkowski,E.F. Hutton Park,TBD,2024,wall,plastic fence,University of Southern California,Andrzej Rutkowski,"3551 Trousdale Pkwy, Los Angeles, CA 90089",https://maps.app.goo.gl/Xna5j8DCBqe7w8Rk6,Mediate access to space. Event specific.,n/a,08,walls_item,walls,"/img/derivatives/iiif/images/obj0009/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0009/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0009/manifest.json
obj0010,Andy Rutkowski,Leavey Library,TBD,2024,wall,plastic fence,University of Southern California,Andrzej Rutkowski,"University Park, Los Angeles, CA 90089",https://maps.app.goo.gl/4PfkM7Rbg9oThPar7,Mediate access to space. Event specific.,n/a,09,walls_item,walls,"/img/derivatives/iiif/images/obj0010/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0010/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0010/manifest.json
obj0011,Andy Rutkowski,USC Parking Garage,TBD,2024,wall,Gate and lock,University of Southern California,Andrzej Rutkowski,"672 W Jefferson Blvd, Los Angeles, CA 90089",https://maps.app.goo.gl/yPAcDMJhLiCggMcx6,Prevent access and movement. Specific response to USC student encampment in support of Palestine.,n/a,10,walls_item,walls,"/img/derivatives/iiif/images/obj0011/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0011/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0011/manifest.json
